gens,best_fitness,avg_fitness,best_gene
321,0.0002957704821058858,0.00029158241121116,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
322,0.0002957704821058858,0.0002917814953425637,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
323,0.0002957704821058858,0.0002919805794739674,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
324,0.0002957704821058858,0.00029217966360537106,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
325,0.0002957704821058858,0.00029217966360537106,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
326,0.0002957704821058858,0.00029217966360537106,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
327,0.0002957704821058858,0.00029237874773677477,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
328,0.0002957704821058858,0.00029237874773677477,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
329,0.0002957704821058858,0.00029277691599958214,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
330,0.0002957704821058858,0.0002929828890379543,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
331,0.0002957704821058858,0.00029309109775091987,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
332,0.0002957704821058858,0.00029314520210740267,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
333,0.0002957704821058858,0.0002931993064638854,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
334,0.0002957704821058858,0.00029330751517685097,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
335,0.0002957704821058858,0.00029336161953333377,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
336,0.0002957704821058858,0.00029336161953333377,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
337,0.0002957704821058858,0.00029336161953333377,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
338,0.0002957704821058858,0.0002934157238898166,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
339,0.0002957704821058858,0.0002934698282462993,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
340,0.0002957704821058858,0.0002935780369592649,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
341,0.0002957704821058858,0.00029363214131574773,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
342,0.0002957704821058858,0.00029363214131574773,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
343,0.0002957704821058858,0.00029363214131574773,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
344,0.0002957704821058858,0.00029363214131574773,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
345,0.0002957704821058858,0.0002936862456722305,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
346,0.0002957704821058858,0.0002937944543851961,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
347,0.0002957704821058858,0.00029390266309816163,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
348,0.0002957704821058858,0.00029395676745464443,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
349,0.0002957704821058858,0.00029395676745464443,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
350,0.0002957704821058858,0.00029406497616761,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
351,0.0002957704821058858,0.0002941190805240928,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
352,0.0002957704821058858,0.00029422728923705834,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
353,0.0002957704821058858,0.0002943354979500239,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
354,0.0002957704821058858,0.0002943896023065067,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
